City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Tasiilaq,65.6145,-37.6368,33.96,77,49,8.46,GL,1634854621
Toledo,39.8333,-4.0,65.08,49,29,7.78,ES,1634854622
Ostrovnoy,68.0531,39.5131,34.56,78,100,17.76,RU,1634854623
Mossamedes,-15.1961,12.1522,65.64,74,2,10.69,AO,1634854623
Klaksvík,62.2266,-6.589,38.32,75,98,39.01,FO,1634854624
Kedrovka,55.5333,86.05,41.88,67,80,5.84,RU,1634854624
Pontian Kecil,1.4801,103.3899,78.89,88,96,3.6,MY,1634854624
São Filipe,14.8961,-24.4956,81.43,64,21,6.6,CV,1634854624
Saint Anthony,45.0205,-93.218,50.83,51,1,1.99,US,1634854625
Hilo,19.7297,-155.09,84.27,61,20,5.75,US,1634854608
Kasama,-10.2129,31.1808,68.54,54,7,6.82,ZM,1634854625
Mar del Plata,-38.0023,-57.5575,75.22,90,0,3.0,AR,1634854625
Östersund,63.1792,14.6357,34.61,100,75,5.75,SE,1634854626
Bethel,41.3712,-73.414,68.09,69,1,6.91,US,1634854566
Asău,46.4333,26.4,58.12,52,77,8.16,RO,1634854626
Qasigiannguit,68.8193,-51.1922,30.45,96,41,4.54,GL,1634854627
Norman Wells,65.282,-126.8329,39.24,70,20,6.91,CA,1634854627
Tazovsky,67.4667,78.7,23.45,99,72,2.53,RU,1634854627
Nemuro,43.3236,145.575,48.52,79,71,12.91,JP,1634854628
Nanortalik,60.1432,-45.2371,41.36,47,100,9.66,GL,1634854628
Ilulissat,69.2167,-51.1,30.22,74,75,16.11,GL,1634854629
Provideniya,64.3833,-173.3,26.71,63,75,13.42,RU,1634854629
Udachny,66.4167,112.4,16.66,95,96,4.16,RU,1634854629
Deputatsky,69.3,139.9,-4.04,100,100,3.56,RU,1634854630
Belaya Gora,68.5333,146.4167,-11.2,96,70,3.04,RU,1634854339
Airai,-8.9266,125.4092,63.99,65,78,1.7,TL,1634854630
Tupik,54.4253,119.9327,29.77,77,28,3.44,RU,1634854630
Garoowe,8.4054,48.4845,73.36,80,62,6.46,SO,1634854631
Monrovia,6.3005,-10.7969,76.77,85,100,6.46,LR,1634854493
Katsuura,35.1333,140.3,55.18,91,100,15.32,JP,1634854631
Cape Town,-33.9258,18.4232,63.09,64,100,15.01,ZA,1634854354
Tres Arroyos,-38.3739,-60.2798,58.68,94,52,9.6,AR,1634854632
Qaanaaq,77.484,-69.3632,-0.13,76,18,7.47,GL,1634854632
Safi,32.2994,-9.2372,67.14,84,0,15.95,MA,1634854633
Quatre Cocos,-20.2078,57.7625,74.08,80,37,9.28,MU,1634854633
Hwange,-18.3693,26.5019,75.25,53,99,8.72,ZW,1634854633
Junín,-34.5838,-60.9433,78.98,34,0,5.91,AR,1634854450
Requena,39.4883,-1.1004,61.99,80,68,6.98,ES,1634854634
Bengkulu,-3.8004,102.2655,74.66,92,90,3.18,ID,1634854634
Kysyl-Syr,63.8986,122.7617,31.96,89,83,10.07,RU,1634854634
Moundou,8.5667,16.0833,71.17,94,81,2.95,TD,1634854635
Khovd,48.0056,91.6419,32.79,49,8,1.36,MN,1634854635
Tekeli,44.83,78.8239,39.79,97,99,9.15,KZ,1634854635
Ancud,-41.8697,-73.8203,51.42,67,45,7.81,CL,1634854602
Champerico,14.3,-91.9167,83.35,79,100,11.54,GT,1634854636
Pudozh,61.8099,36.5345,43.7,98,100,5.61,RU,1634854636
Manakara,-22.1333,48.0167,69.49,91,66,12.17,MG,1634854637
Weligama,5.9667,80.4167,78.21,86,57,5.99,LK,1634854637
Barddhamān,23.25,87.85,71.67,82,24,4.47,IN,1634854637
Nouadhibou,20.931,-17.0347,78.78,47,2,9.22,MR,1634854638
Nkhotakota,-12.9274,34.2961,74.55,66,64,3.91,MW,1634854638
Ponta Delgada,37.7333,-25.6667,65.12,77,20,4.61,PT,1634854638
Puerto Ayora,-0.7393,-90.3518,76.96,80,70,10.13,EC,1634854639
Hervey Bay,-25.2986,152.8535,79.03,71,16,9.42,AU,1634854639
Yerbogachën,61.2767,108.0108,30.56,94,97,6.58,RU,1634854639
Kalach-na-Donu,48.691,43.5264,47.52,53,24,16.78,RU,1634854640
Homer,59.6425,-151.5483,46.78,77,90,3.44,US,1634854640
Ketchikan,55.3422,-131.6461,59.47,51,90,16.11,US,1634854640
Saldanha,-33.0117,17.9442,59.05,86,100,19.46,ZA,1634854641
Córdoba,-31.4135,-64.1811,83.75,25,0,7.0,AR,1634854347
Tarragona,41.129,1.249,63.43,82,20,5.01,ES,1634854641
Kiryat Gat,31.61,34.7642,70.48,100,1,3.18,IL,1634854642
Mayo,38.8876,-76.5119,73.81,69,1,5.75,US,1634854642
Mandalgovi,45.7625,106.2708,30.33,42,4,6.71,MN,1634854642
Saint-Philippe,-21.3585,55.7679,71.19,78,3,9.71,RE,1634854643
Lufilufi,-13.8745,-171.5986,83.79,80,89,21.59,WS,1634854643
Constitución,-35.3333,-72.4167,57.0,72,100,18.1,CL,1634854643
Doha,25.2867,51.5333,82.38,49,0,13.8,QA,1634854644
Grand Gaube,-20.0064,57.6608,74.37,75,52,1.01,MU,1634854644
Turtas,58.9417,69.1325,31.87,95,100,7.54,RU,1634854645
Colorines,19.2,-100.1667,75.6,78,90,3.74,MX,1634854645
Husavik,66.0449,-17.3389,28.31,72,100,8.01,IS,1634854646
Māndvi,22.8333,69.3667,78.31,61,0,10.49,IN,1634854646
Khani,41.9563,42.9566,49.57,61,0,6.78,GE,1634854646
Anadyr,64.75,177.4833,21.7,93,75,2.24,RU,1634854647
Talnakh,69.4865,88.3972,25.02,97,100,1.07,RU,1634854647
Ferkessédougou,9.6,-5.2,76.1,84,88,5.23,CI,1634854647
Wanning,18.8003,110.3967,76.3,90,84,11.43,CN,1634854648
Tamiahua,21.2667,-97.45,82.56,70,74,9.64,MX,1634854648
Katangli,51.7102,143.2326,28.81,78,100,7.74,RU,1634854648
Bobo-Dioulasso,11.1771,-4.2979,82.85,74,0,6.91,BF,1634854649
Chapais,49.7834,-74.8492,38.98,81,100,3.94,CA,1634854649
Cherskiy,68.75,161.3,5.77,97,100,4.52,RU,1634854649
Puerto Carreño,6.189,-67.4859,80.96,78,52,9.48,CO,1634854585
Kamenka,51.3223,42.7678,51.21,56,96,17.92,RU,1634854650
Castro,-24.7911,-50.0119,56.98,76,61,3.62,BR,1634854650
Port Lincoln,-34.7333,135.8667,60.64,74,59,2.93,AU,1634854650
Saint-Paul,-21.0096,55.2707,71.71,84,0,1.99,RE,1634854651
Saint Paul Harbor,57.79,-152.4072,42.31,81,90,8.05,US,1634854528
Huicheng,23.0385,116.2899,60.75,79,100,12.93,CN,1634854651
Natal,-5.795,-35.2094,81.25,83,40,10.36,BR,1634854430
Taylor,32.3001,-99.8337,84.72,57,20,1.01,US,1634854652
Inhambane,-23.865,35.3833,69.71,70,26,10.22,MZ,1634854652
Bariloche,-41.1456,-71.3082,47.95,46,40,25.32,AR,1634854653
Panabá,21.2833,-88.2667,77.27,85,100,7.25,MX,1634854653
Clyde River,70.4692,-68.5914,20.05,85,84,3.58,CA,1634854373
College,64.8569,-147.8028,34.2,78,75,0.0,US,1634854653
Okhotsk,59.3833,143.3,13.77,74,14,7.14,RU,1634854654
Port Elizabeth,-33.918,25.5701,64.69,88,20,14.97,ZA,1634854654
Yellowknife,62.456,-114.3525,46.29,70,20,16.11,CA,1634854615
Yerofey Pavlovich,53.9667,121.9667,30.04,77,58,3.36,RU,1634854655
George Town,5.4112,100.3354,77.9,91,20,3.44,MY,1634854511
Amealco,20.1833,-100.15,64.47,47,36,14.27,MX,1634854655
Ola,59.5833,151.2833,15.85,38,19,5.86,RU,1634854656
Bambous Virieux,-20.3428,57.7575,74.21,83,75,3.44,MU,1634854656
Pedra Branca,-5.4542,-39.7172,82.26,51,98,4.56,BR,1634854656
Jaranwala,31.3333,73.4333,71.15,24,3,3.8,PK,1634854657
Tacuarembó,-31.7333,-55.9833,61.0,74,0,7.0,UY,1634854657
Shihezi,44.3,86.0333,49.35,30,2,0.67,CN,1634854658
East London,-33.0153,27.9116,71.46,73,100,9.01,ZA,1634854658
Arrondissement d'Ajaccio,42.0,8.9167,64.89,94,75,6.91,FR,1634854658
Nārāyanganj,23.6233,90.5011,78.82,76,45,1.36,BD,1634854659
Martapura,-3.4167,114.85,74.01,92,100,1.95,ID,1634854659
Caruray,10.3094,119.0128,79.12,84,80,1.1,PH,1634854659
Shimoda,34.6667,138.95,53.1,87,100,16.02,JP,1634854660
Zhanakorgan,43.9098,67.2495,39.16,53,71,4.85,KZ,1634854660
Vaini,-21.2,-175.2,78.96,83,40,13.8,TO,1634854661
Havelock,34.8791,-76.9013,73.38,78,80,5.99,US,1634854661
Puerto Escondido,15.85,-97.0667,83.23,65,90,5.75,MX,1634854661
Charters Towers,-20.1,146.2667,80.1,65,2,11.9,AU,1634854662
Poum,-20.2333,164.0167,75.43,74,23,9.08,NC,1634854662
Krasnosel'kup,65.7,82.4667,27.52,98,97,7.45,RU,1634854662
Meulaboh,4.1363,96.1285,76.28,89,97,2.71,ID,1634854663
Oranjestad,12.524,-70.027,84.15,74,20,24.16,AW,1634854663
Geraldton,-28.7667,114.6,59.13,88,40,5.75,AU,1634854664
Legnica,51.2101,16.1619,51.04,76,66,21.41,PL,1634854664
Pemba,-12.974,40.5178,76.03,73,53,17.72,MZ,1634854664
Solnechnyy,50.7214,136.6319,26.64,95,91,2.39,RU,1634854665
Lodja,-3.4833,23.4333,67.5,99,100,2.04,CD,1634854665
Luba,3.4568,8.5547,79.2,86,91,8.88,GQ,1634854666
Mahébourg,-20.4081,57.7,74.25,83,75,3.44,MU,1634854666
Nyurba,63.2842,118.3319,34.48,93,100,5.88,RU,1634854666
The Valley,18.217,-63.0578,84.06,74,20,14.97,AI,1634854667
Tuy Hoa,13.0833,109.3,75.76,93,98,3.11,VN,1634854667
Sorong,-0.8833,131.25,77.02,88,100,3.2,ID,1634854667
Boddam,57.4667,-1.7833,46.78,83,89,31.68,GB,1634854668
Melilla,35.2937,-2.9383,70.18,64,0,11.5,ES,1634854668
Kruisfontein,-34.0033,24.7314,61.88,85,100,3.42,ZA,1634854668
Port Blair,11.6667,92.75,79.5,85,100,2.66,IN,1634854669
Falam,22.9167,93.6833,56.93,97,90,3.58,MM,1634854669
Aksu,41.1231,80.2644,54.43,26,100,1.41,CN,1634854670
Saurimo,-9.6608,20.3916,68.32,92,100,2.64,AO,1634854670
Cap-aux-Meules,47.3821,-61.8597,50.05,81,40,5.75,CA,1634854670
Hongjiang,27.11,109.9956,51.69,97,100,3.49,CN,1634854671
Midland,31.9974,-102.0779,81.63,59,40,10.36,US,1634854509
Ixtapa,20.7,-105.2,88.83,66,20,10.36,MX,1634854671
Trincomalee,8.5711,81.2335,79.11,84,92,5.82,LK,1634854671
Makakilo City,21.3469,-158.0858,82.72,64,75,8.05,US,1634854671
Ust-Kuyga,70.0167,135.6,10.58,97,100,2.89,RU,1634854672
Tadine,-21.55,167.8833,74.21,78,98,11.86,NC,1634854672
Ulaanbaatar,47.9077,106.8832,17.73,73,0,0.0,MN,1634854673
Hong Kong,22.2855,114.1577,66.33,86,100,5.01,HK,1634854673
Pobé,6.9801,2.6649,74.16,93,94,4.36,BJ,1634854673
Ribeira Grande,38.5167,-28.7,69.22,70,99,11.43,PT,1634854674
Anking,30.5092,117.0506,52.9,79,100,4.52,CN,1634854674
Joshīmath,30.5667,79.5667,57.78,42,5,5.88,IN,1634854674
La Palma,33.8464,-118.0467,90.43,54,20,4.0,US,1634854540
Saint-Augustin,51.226,-58.6502,40.62,60,42,10.11,CA,1634854675
Tuktoyaktuk,69.4541,-133.0374,32.0,93,40,5.75,CA,1634854675
Cabo San Lucas,22.8909,-109.9124,88.61,67,20,5.01,MX,1634854675
Okha,53.5739,142.9478,34.14,89,100,10.25,RU,1634854676
Yangi Marg`ilon,40.4272,71.7189,50.72,57,100,9.22,UZ,1634854676
Beringovskiy,63.05,179.3167,16.84,89,100,13.76,RU,1634854676
Santa Maria,-29.6842,-53.8069,63.46,72,10,2.64,BR,1634854543
Ajdabiya,30.7554,20.2263,69.46,58,17,6.71,LY,1634854677
Nakanojōmachi,36.5833,138.85,49.57,77,97,1.16,JP,1634854677
Faya,18.3851,42.4509,62.71,26,22,7.07,SA,1634854677
Berbera,10.4396,45.0143,84.36,58,98,9.04,SO,1634854678
Kushima,31.4583,131.2333,58.51,87,87,6.73,JP,1634854678
Dikson,73.5069,80.5464,23.67,71,100,10.74,RU,1634854679
Banjar,-8.19,114.9675,80.46,89,89,4.43,ID,1634854679
Butaritari,3.0707,172.7902,82.6,73,32,16.44,KI,1634854519
Lodwar,3.1191,35.5973,86.0,43,67,16.15,KE,1634854679
Kibre Mengist,5.8833,38.9833,56.1,94,81,1.77,ET,1634854576
Verkhnevilyuysk,63.4453,120.3167,33.75,93,100,7.81,RU,1634854680
Leningradskiy,69.3833,178.4167,10.4,89,90,15.35,RU,1634854681
Thompson,55.7435,-97.8558,33.96,75,75,5.75,CA,1634854634
Hobart,-42.8794,147.3294,63.05,76,75,3.0,AU,1634854525
Goderich,43.7501,-81.7165,59.92,88,96,17.27,CA,1634854681
Bang Saphan,11.2126,99.5117,75.83,94,100,3.47,TH,1634854682
Anloga,5.7947,0.8973,80.13,84,99,9.78,GH,1634854581
Menongue,-14.6585,17.691,66.16,86,87,4.14,AO,1634854683
Labuhan,-6.8844,112.2051,79.38,81,100,6.33,ID,1634854683
Namatanai,-3.6667,152.4333,81.68,78,86,6.26,PG,1634854684
Chālūs,36.655,51.4204,51.26,93,20,0.0,IR,1634854630
Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.79,63,20,6.71,RU,1634854684
Władysławowo,54.7909,18.4009,47.77,73,70,29.08,PL,1634854684
Peleduy,59.6289,112.7406,33.31,89,100,8.41,RU,1634854685
Esperance,-33.8667,121.9,55.24,79,66,10.78,AU,1634854685
Liverpool,53.4106,-2.9779,50.77,80,83,8.01,GB,1634854686
Bima,-8.4667,118.7167,78.24,85,88,4.41,ID,1634854686
Zeya,53.75,127.2667,30.42,74,76,2.04,RU,1634854687
Slave Lake,55.2834,-114.769,48.83,36,7,7.67,CA,1634854509
Linqiong,30.4159,103.4609,56.79,90,100,1.3,CN,1634854687
Bilma,18.6853,12.9164,82.53,17,0,10.36,NE,1634854687
Narsaq,60.9167,-46.05,30.42,36,100,4.54,GL,1634854688
Pangnirtung,66.1451,-65.7125,32.0,64,20,5.75,CA,1634854688
Tabou,4.423,-7.3528,77.23,88,97,7.36,CI,1634854688
Ballina,-28.8667,153.5667,68.77,88,70,3.36,AU,1634854689
Atambua,-9.1061,124.8925,76.98,83,78,1.63,ID,1634854689
Ewo,-0.8725,14.8206,71.92,94,100,0.49,CG,1634854689
Mount Isa,-20.7333,139.5,83.97,45,0,8.05,AU,1634854690
Lamar,33.6668,-95.5836,82.06,35,1,9.22,US,1634854690
Itaporanga,-7.3044,-38.1503,86.47,44,87,5.79,BR,1634854690
Tura,25.5198,90.2201,62.76,89,4,2.37,IN,1634854691
Coquimbo,-29.9533,-71.3436,58.73,77,20,11.5,CL,1634854691
Kaitangata,-46.2817,169.8464,54.09,64,16,6.04,NZ,1634854691
Bairiki Village,1.3292,172.9752,86.0,66,20,9.22,KI,1634854692
Palmer,42.1584,-72.3287,68.41,56,75,12.66,US,1634854692
Karratha,-20.7377,116.8463,76.53,30,0,11.14,AU,1634854692
Humberto de Campos,-2.5983,-43.4611,78.48,80,62,5.12,BR,1634854693
Fortuna,40.5982,-124.1573,68.09,73,75,1.01,US,1634854693
Yima,34.7381,111.8839,46.4,54,46,1.63,CN,1634854693
Saint-Pierre,-21.3393,55.4781,71.28,69,0,6.91,RE,1634854694
Mehamn,71.0357,27.8492,35.31,57,100,25.5,NO,1634854694
Cherkasskoye,52.4333,47.2167,49.95,75,100,13.69,RU,1634854694
Kalmunai,7.4167,81.8167,78.78,82,27,4.27,LK,1634854695
Samaná,19.2056,-69.3369,80.56,88,29,5.41,DO,1634854695
Selenduma,50.9131,106.2406,29.55,74,0,3.42,RU,1634854695
Hamilton,39.1834,-84.5333,65.12,60,20,5.01,US,1634854651
Markova,48.6758,24.4138,54.19,71,100,8.5,UA,1634854696
Kindu,-2.95,25.95,68.92,100,100,2.17,CD,1634854696
Gizo Government Station,-8.103,156.8419,82.4,72,94,3.09,SB,1634854697
Ruwi,23.5996,58.5507,83.41,62,0,2.66,OM,1634854697
Albacete,38.8333,-2.0,58.19,72,0,4.61,ES,1634854680
Mokhsogollokh,61.4681,128.9203,36.55,97,100,11.79,RU,1634854697
Goes,51.5042,3.8889,51.78,74,77,7.0,NL,1634854698
Henties Bay,-22.116,14.2845,59.86,89,0,4.27,NA,1634854698
Mount Gambier,-37.8333,140.7667,53.51,100,90,4.61,AU,1634854671
Alofi,-19.0595,-169.9187,80.49,57,75,16.11,NU,1634854699
Dingle,10.9995,122.6711,76.14,94,100,5.99,PH,1634854699
Povenets,62.8487,34.8262,39.78,97,100,6.15,RU,1634854699
Lagoa Formosa,-18.7786,-46.4075,71.15,68,79,4.83,BR,1634854700
Bentiu,9.2333,29.8333,74.57,86,83,3.69,SS,1634854700
Umm Kaddadah,13.6017,26.6876,84.94,23,100,18.77,SD,1634854700
Chicama,-7.8447,-79.1469,61.34,69,26,8.55,PE,1634854701
Vestmannaeyjar,63.4427,-20.2734,44.55,65,77,8.9,IS,1634854701
Luancheng,37.8792,114.6517,37.56,48,0,6.46,CN,1634854702
Gushikawa,26.3544,127.8686,72.63,85,90,14.97,JP,1634854702
Nome,64.5011,-165.4064,33.87,80,90,8.05,US,1634854702
Stokmarknes,68.5646,14.9108,35.49,76,100,6.78,NO,1634854703
Gladstone,-23.85,151.25,77.79,73,90,10.36,AU,1634854703
Nelson Bay,-32.7167,152.15,71.01,89,16,1.99,AU,1634854485
Haines Junction,60.7522,-137.5108,46.35,53,100,1.14,CA,1634854703
Turukhansk,65.8167,87.9833,35.13,94,100,12.86,RU,1634854704
Faanui,-16.4833,-151.75,79.14,74,27,8.43,PF,1634854704
Buritizeiro,-17.3511,-44.9622,73.08,80,66,4.54,BR,1634854704
Andenes,69.3143,16.1194,35.58,64,90,27.63,NO,1634854705
Port Alberni,49.2413,-124.8028,57.04,95,100,1.01,CA,1634854705
Vilhena,-12.7406,-60.1458,80.82,74,20,3.44,BR,1634854705
Laguna,38.421,-121.4238,80.46,59,90,1.99,US,1634854706
Seoul,37.5683,126.9778,44.04,93,0,1.14,KR,1634854580
Alta Gracia,-31.6529,-64.4283,80.89,24,50,13.02,AR,1634854706
Diffa,13.3154,12.6113,86.41,42,19,6.91,NE,1634854706
Guerrero Negro,27.9769,-114.0611,74.26,63,0,12.12,MX,1634854707
Camacupa,-12.0167,17.4833,67.42,72,99,1.54,AO,1634854707
Erzin,36.9559,36.2,54.12,32,0,4.21,TR,1634854707
San Patricio,28.017,-97.5169,87.89,46,35,6.8,US,1634854708
Boyolangu,-8.1181,111.8935,75.94,89,100,3.06,ID,1634854708
Yashkul',46.1711,45.3435,47.34,44,17,9.86,RU,1634854708
Santa Cruz de la Sierra,-17.8,-63.1667,90.21,33,10,4.81,BO,1634854503
San Andrés,12.5847,-81.7006,86.02,74,40,4.61,CO,1634854709
Plettenberg Bay,-34.0527,23.3716,62.62,89,100,2.39,ZA,1634854709
Hannibal,39.7084,-91.3585,54.52,62,90,9.22,US,1634854710
Vila Franca do Campo,37.7167,-25.4333,64.81,74,83,4.59,PT,1634854710
Mizdah,31.4451,12.9801,63.59,63,61,7.0,LY,1634854711
Muros,42.7762,-9.0603,57.24,94,45,4.99,ES,1634854711
Olinda,-8.0089,-34.8553,82.13,78,75,8.05,BR,1634854711
Aksarka,66.5606,67.7975,28.44,91,100,5.28,RU,1634854711
Shirokiy,49.758,129.523,23.32,92,9,4.41,RU,1634854712
Morro Bay,35.3658,-120.8499,81.48,83,91,1.99,US,1634854712
Kushiro,42.975,144.3747,41.95,93,75,5.75,JP,1634854490
Araouane,18.9048,-3.5265,78.01,22,10,9.1,ML,1634854712
Burnie,-41.0667,145.9167,57.94,93,100,12.71,AU,1634854713
Abéché,13.8292,20.8324,83.05,35,73,5.39,TD,1634854713
Ust-Nera,64.5667,143.2,6.1,97,100,3.58,RU,1634854713
Pogar,52.554,33.2591,53.89,58,97,17.56,RU,1634854714
Borba,-4.3878,-59.5939,76.89,92,100,2.21,BR,1634854714
Eyl,7.9803,49.8164,77.54,84,31,6.44,SO,1634854714
Khambhāt,22.3,72.6167,77.34,59,1,9.28,IN,1634854714
Lavrentiya,65.5833,-171.0,23.45,92,70,4.5,RU,1634854715
Port Moresby,-9.4431,147.1797,80.26,76,13,0.94,PG,1634854715
Lagoa,39.05,-27.9833,68.41,71,100,11.1,PT,1634854716
Parabel',58.6978,81.4825,39.9,82,100,6.89,RU,1634854716
La Santisima Trinidad,-14.8333,-64.9,94.98,46,55,6.91,BO,1634854667
Nassau,40.7507,-73.5829,72.34,73,1,1.99,US,1634854680
Saskylakh,71.9167,114.0833,1.09,99,95,4.29,RU,1634854717
Kuruman,-27.4524,23.4325,54.99,82,100,17.25,ZA,1634854717
Kuantan,3.8077,103.326,73.51,94,40,0.0,MY,1634854717
Tingo María,-9.2895,-76.0088,83.64,63,72,3.13,PE,1634854718
Robertsport,6.7533,-11.3686,79.0,84,100,8.46,LR,1634854718
Härnösand,62.6323,17.9379,39.2,94,100,13.42,SE,1634854718
New Baltimore,42.6811,-82.7369,59.43,76,75,17.27,US,1634854719
Cayenne,4.9333,-52.3333,82.44,82,75,5.99,GF,1634854719
Nísia Floresta,-6.0911,-35.2086,81.41,82,79,6.78,BR,1634854719
Shitanjing,39.2342,106.3439,40.44,33,82,7.4,CN,1634854720
Presidente Epitácio,-21.7633,-52.1156,74.41,54,1,7.83,BR,1634854720
El Salvador,13.8333,-88.9167,79.99,78,17,2.39,SV,1634854506
Castlegar,49.2998,-117.6689,57.11,53,87,2.28,CA,1634854501
Saint George,37.1041,-113.5841,77.54,25,1,3.0,US,1634854720
Valguarnera Caropepe,37.4955,14.3888,61.63,96,5,1.9,IT,1634854721
Medicine Hat,50.0501,-110.6683,64.11,36,20,3.0,CA,1634854632
